MAP NAME                  | DIFF       | STARS      | PTS    | LENGTH   | CREATOR                   | DATE
Twike4Schizophrenia       | Hard       | ★★☆        | 24     | L        | Twike                     | 2021-06-04
TwistmasAdventure         | Hard       | ★★☆        | 29     | XL       | mind                      | 2024-12-20
Twofive                   | Solo       | ★★★★☆      | 27     | -        | Themix                    | 2023-11-11
tyrone4fretardo           | Main       | ★★★        | 11     | S        | Tyrone                    | 2021-12-14
Tyrone4Frozen             | Hard       | ★☆☆        | 14     | S        | Tyrone                    | 2021-12-31
uk1                       | Main       | ★★★        | 13     | M        | UnKown                    | 2019-05-30
uk2                       | Hard       | ★★★        | 25     | M        | UnKnown                   | 2019-09-08
uk3                       | Hard       | ★★★        | 25     | M        | UnKnown                   | 2020-01-12
Uk4                       | Hard       | ★★☆        | 24     | L        | UnKnown                   | 2020-10-16
UNDR                      | Hard       | ★★☆        | 14     | XS       | GloomyWanderer            | 2018-09-22
Unique                    | Insane     | ★☆☆        | 27     | S        | UnKnown                   | 2021-05-28
UnKnown4Grass             | Hard       | ★★☆        | 18     | S        | UnKnown                   | 2020-03-05
UnKnown4vED               | Insane     | ★☆☆        | 27     | S        | UnKnown                   | 2021-05-30
UnlockTeam                | Mod        | ★★★★☆      | 22     | -        | coany                     | 2021-05-16
Untilted                  | Insane     | ★★★        | 38     | S        | Milaseq_                  | 2025-12-27
urskog                    | Hard       | ★☆☆        | 16     | M        | New_Hero                  | 2023-05-13
VampEz1                   | Easy       | ★★☆        | 2      | XXS      | Vampyrali                 | 2017-08-26
Vampyrali2                | Main       | ★★☆        | 8      | S        | Vampyrali                 | Released during a sunset
Vampyrali3                | Main       | ★★☆        | 8      | S        | Vampyrali                 | Released during a sunset
Veltrix                   | Insane     | ★☆☆        | 27     | S        | johny tailor              | 2026-02-09
Vigorously                | Main       | ★★★        | 11     | S        | Zonsa                     | 2020-12-29
Voodi                     | Main       | ★★☆        | 8      | S        | sasha34827                | 2025-08-24
WaLu                      | Hard       | ★★☆        | 21     | M        | WaKarnage, Lucas          | 2021-11-16
WarmUp_by_Shyzo           | Insane     | ★★☆        | 40     | L        | Shyzo                     | 2018-06-03
Warto4Vappy               | Hard       | ★★☆        | 21     | M        | Warto                     | 2023-06-26
Waschlappen               | Main       | ★★★        | 11     | S        | Waschlappen               | Released during a sunset
Waterfall                 | Main       | ★★★        | 24     | XXL      | Beautemps                 | 2020-08-15
Wats4Forbidden            | Main       | ★★☆        | 8      | S        | Wats                      | 2018-07-20
WhatRemains               | Insane     | ★★★        | 38     | S        | MoonCake                  | 2019-05-29
Whispering                | Hard       | ★★☆        | 18     | S        | MoonCake                  | 2019-08-06
White                     | Main       | ★★★        | 11     | S        | BoWser                    | 2022-08-16
Whitedom                  | Hard       | ★★☆        | 21     | M        | RealTaco                  | 2023-08-25
WhiteMoon                 | Hard       | ★★★        | 22     | S        | FlipLipp                  | 2018-11-19
Wicked                    | Insane     | ★★☆        | 36     | M        | Jore                      | 2022-05-24
Wilderness                | Hard       | ★★☆        | 21     | M        | wer1xx & sasha34827       | 2025-08-17
Wind_Vane                 | Main       | ★☆☆        | 6      | S        | mind                      | 2024-10-18
Winter_rain               | Insane     | ★☆☆        | 27     | S        | MoonCake                  | 2022-04-05
Winter_rain_twisted       | Others     | ★★★        | 0      | -        | mind                      | 2024-12-07
Wintux                    | Main       | ★★☆        | 8      | S        | Tux                       | 2019-01-28
Wonderfrost               | Main       | ★★☆        | 10     | M        | Shivi                     | 2024-05-28
Xerceal                   | Insane     | ★★★        | 42     | M        | Themix                    | 2025-03-17
XmasAdventure             | Main       | ★★★        | 16     | L        | Hidden                    | 2017-12-27
XmasMove                  | Hard       | ★☆☆        | 16     | M        | tux                       | 2020-03-02
Xoxo4Hendrix              | Insane     | ★☆☆        | 30     | M        | Xoxo                      | 2021-01-05
xRyperion                 | Main       | ★★☆        | 8      | S        | xRyperion_                | Released during a sunset
xRyperionGecko            | Main       | ★★☆        | 10     | M        | xRyperion_ & Gecko & FlipLipp | Released during a sunset
Xyz_gores                 | Mod        | ★★☆☆☆      | 8      | -        | Themix                    | Released during a sunset
YellowMoon                | Insane     | ★☆☆        | 35     | L        | FlipLipp                  | 2018-12-23
Yo1                       | Main       | ★★★        | 8      | XS       | Yo                        | Released during a sunset
Yo10                      | Main       | ★★★        | 20     | XL       | Yo                        | Released during a sunset
Yo11                      | Main       | ★★★        | 16     | L        | Yo                        | Released during a sunset
Yo12                      | Insane     | ★☆☆        | 30     | M        | Yo                        | 2017-09-01
Yo13                      | Main       | ★★★        | 11     | S        | Yo                        | 2017-08-04
Yo2                       | Main       | ★★★        | 11     | S        | Yo                        | Released during a sunset
Yo3                       | Main       | ★★☆        | 10     | M        | Yo                        | Released during a sunset
Yo4                       | Main       | ★★☆        | 6      | XS       | Yo                        | Released during a sunset
Yo4Fast                   | Hard       | ★☆☆        | 16     | M        | Yo                        | 2016-11-10
Yo4Lama                   | Main       | ★★★        | 13     | M        | Yo                        | Released during a sunset
Yo4Lama2                  | Hard       | ★★★        | 25     | M        | Yo                        | Released during a sunset
Yo4WojMen                 | Main       | ★★★        | 6      | XXS      | Yo                        | 2017-11-19
Yo5                       | Main       | ★★☆        | 10     | M        | Yo                        | Released during a sunset
Yo6                       | Main       | ★★★        | 16     | L        | Yo                        | Released during a sunset
Yo7                       | Main       | ★★☆        | 15     | XL       | Yo                        | Released during a sunset
Yo8                       | Main       | ★★☆        | 10     | M        | Yo                        | Released during a sunset
Yo9                       | Main       | ★★★        | 13     | M        | Yo                        | Released during a sunset
YoAirm4x                  | Main       | ★★★        | 11     | S        | Yo & AIRM4X               | Released during a sunset
Yoc4crunchY               | Insane     | ★★☆        | 36     | M        | Yoc                       | 2020-08-22
Yoc4mpampas               | Insane     | ★★★        | 47     | L        | Yoc                       | 2021-10-22
YoCkis4                   | Main       | ★★★        | 24     | XXL      | Yo & CkiS                 | Released during a sunset
YoCkiS5                   | Hard       | ★★★        | 29     | L        | Yo                        | 2016-12-17
Yoin4Crispy               | Main       | ★★★        | 11     | S        | Yoin                      | 2022-05-27
Yoin4Tester               | Insane     | ★★☆        | 32     | S        | Yoin                      | 2024-05-21
YoJustTeE                 | Main       | ★★☆        | 10     | M        | Yo & JustTeE              | Released during a sunset
YoJustTee2                | Main       | ★★★        | 20     | XL       | Yo                        | 2017-03-01
Yuslo4Nizzza              | Insane     | ★☆☆        | 35     | L        | Yuslo                     | 2017-02-24
Yuslo4Shoyyy              | Insane     | ★☆☆        | 35     | L        | Yuslo                     | 2017-03-24
YusloCkis1                | Insane     | ★★☆        | 36     | M        | Yuslo_CkiS                | 2017-07-07
za1e                      | Hard       | ★☆☆        | 16     | M        | zale                      | 2020-03-14
zale4blim                 | Hard       | ★★★        | 25     | M        | zale                      | 2020-07-28
zale4coany                | Hard       | ★☆☆        | 14     | S        | Zale                      | 2023-11-17
Zentarus                  | Insane     | ★★☆        | 36     | M        | ρнιʐyxxx                  | 2025-11-18
ZeroKani4JuKKi            | Insane     | ★★★        | 47     | L        | Krumplee & TheSunSan      | 2025-10-12
ZeroSeven                 | Main       | ★☆☆        | 6      | S        | KOF                       | 2022-04-29
Zerox4Busted              | Hard       | ★☆☆        | 20     | L        | Zerox                     | 2018-03-19
Zerox4Nox                 | Main       | ★★☆        | 6      | XS       | Zerox                     | Released during a sunset
ziinox                    | Extreme    | ★★★        | 101    | XXXL     | Zonsa                     | 2023-11-15
Zonsa4Luckuy21            | Main       | ★★☆        | 8      | S        | Zonsa                     | 2020-12-05
Zonsa4Mixi                | Insane     | ★★☆        | 32     | S        | Zonsa                     | 2023-01-06
Zonsa4Tyrone              | Hard       | ★★★        | 22     | S        | Zonsa                     | 2021-11-30
zonsa_zonsa_zonsa         | Main       | ★★★        | 13     | M        | Zonsa                     | 2019-07-28
Zosna                     | Hard       | ★★★        | 25     | M        | Zonsa                     | 2021-09-14
ZTOY                      | Main       | ★★★        | 11     | S        | Tyrone                    | 2022-05-17
Zubr                      | Insane     | ★★★        | 42     | M        | Mixi                      | 2021-07-06
ZZZ                       | Hard       | ★★☆        | 21     | M        | Zonsa                     | 2020-07-05
zzzz                      | Hard       | ★★☆        | 42     | XXXL     | Zonsa                     | 2023-05-16
